ID,Assignment State,,,
173014023,Done,,,151014006
181014081,Done,,,161014017
182014079,Done,,,173014022
191014045,Done,,,173014023
181014127,Done,,,173014046
153014008,Not done,,,181014014
173014046,Done,,,181014026
181014048,Not done,,,181014028
191014067,Done,,,181014048
183014006,Done,,,181014064
181014065,Done,,,181014065
192014046,Done,,,181014067
181014028,Done,,,181014081
191014077,Done,,,181014127
191014078,Done,,,182014040
182014040,Done,,,182014048
151014006,Done,,,182014079
191014017,Done,,,183014006
191014008,Done,,,191014005
191014057,Done,,,191014008
191014041,Done,,,191014017
181014067,Done,,,191014020
173014022,Done,,,191014034
191014034,Done,,,191014041
191014005,Done,,,191014045
191014020,Done,,,191014057
181014064,Done,,,191014067
182014048,Done,,,191014077
181014014,Done,,,191014078
,,,,192014046
